id,name,now_cost,position,team,chance_of_playing_this_round,starts,total_points,news_added,form,expected_goal_involvements,cost_change_event_fall,direct_freekicks_order,goals_scored,form_rank_type,selected_by_percent,expected_assists,in_dreamteam,saves,value_season,creativity,expected_goals_per_90,bps,status,ep_next,expected_goal_involvements_per_90,selected_rank,web_name,penalties_saved,influence_rank_type,own_goals,cost_change_start_fall,creativity_rank_type,transfers_in_event,points_per_game_rank_type,chance_of_playing_next_round,transfers_out_event,event_points,threat_rank_type,expected_goals_conceded_per_90,transfers_out,now_cost_rank,penalties_missed,starts_per_90,expected_goals_conceded,influence,yellow_cards,expected_goals,value_form,ict_index_rank_type,clean_sheets,ep_this,transfers_in,minutes,expected_assists_per_90,news,bonus,goals_conceded,corners_and_indirect_freekicks_order,threat_rank,now_cost_rank_type,goals_conceded_per_90,points_per_game_rank,penalties_order,ict_index_rank,cost_change_event,cost_change_start,selected_rank_type,red_cards,form_rank,creativity_rank,threat,points_per_game,saves_per_90,ict_index,clean_sheets_per_90,influence_rank,assists,dreamteam_count
744,Myles Peart-Harris,45,MID,Brentford,,0,0,,0.0,0.00,0,,0,231,0.0,0.00,False,0,0.0,0.0,0.0,0,a,0.7,0.0,743,Peart-Harris,0,255,0,0,256,9,263,,1,0,251,0.0,1,412,0,0.0,0.00,0.0,0,0.00,0.0,259,0,0.7,9,0,0.0,,0,0,,626,237,0.0,652,,646,0,0,321,0,602,636,0.0,0.0,0.0,0.0,0.0,640,0,0
122,Simon Adingra,50,MID,Brighton,,7,38,,3.8,2.03,0,,3,31,1.1,0.67,False,0,7.6,109.4,0.18,123,a,3.8,0.27,166,Adingra,0,41,0,0,85,10072,44,,1832,9,33,1.4,68009,214,0,0.95,10.32,188.6,1,1.36,0.8,50,0,4.3,149992,663,0.09,,3,14,,53,134,1.9,99,,78,0,0,55,0,62,119,173.0,3.5,0.0,47.0,0.0,111,1,0
123,Steven Alzate,44,MID,Brighton,0.0,0,0,2023-09-08T08:19:00.187945Z,0.0,0.00,0,,0,201,0.1,0.00,False,0,0.0,0.0,0.0,0,u,0.0,0.0,491,Alzate,0,226,0,1,227,0,235,0.0,92,0,221,0.0,12360,527,0,0.0,0.00,0.0,0,0.00,0.0,231,0,0.0,2752,0,0.0,Season long loan to Standard Liège,0,0,,571,292,0.0,607,,601,0,-1,168,0,551,585,0.0,0.0,0.0,0.0,0.0,594,0,0
124,Yasin Ayari,45,MID,Brighton,0.0,0,0,2023-08-23T08:37:48.427770Z,0.0,0.00,0,,0,247,0.0,0.00,False,0,0.0,0.0,0.0,0,u,0.0,0.0,611,Ayari,0,269,0,0,270,0,276,0.0,17,0,265,0.0,4772,440,0,0.0,0.00,0.0,0,0.00,0.0,273,0,0.0,483,0,0.0,Season-long loan to Coventry City,0,0,,649,255,0.0,672,,669,0,0,237,0,627,658,0.0,0.0,0.0,0.0,0.0,663,0,0
125,Facundo Buonanotte,47,MID,Brighton,,2,6,,1.2,0.49,0,,0,109,0.0,0.22,False,0,1.3,28.5,0.2,11,a,1.2,0.36,545,Buonanotte,0,166,0,3,154,80,139,,39,3,142,1.45,4623,335,0,1.5,1.93,22.2,1,0.27,0.3,161,0,1.7,1568,120,0.16,,0,1,,278,219,0.75,304,,356,0,-3,197,0,233,290,23.0,1.5,0.0,7.4,0.0,373,1,0
127,Aaron Connolly,45,FWD,Brighton,0.0,0,0,2023-08-04T09:39:43.029546Z,0.0,0.00,0,,0,62,0.0,0.00,False,0,0.0,0.0,0.0,0,u,0.0,0.0,605,Connolly,0,62,0,0,65,0,68,0.0,19,0,64,0.0,3624,394,0,0.0,0.00,0.0,0,0.00,0.0,64,0,0.0,0,0,0.0,Permanent move to Hull City,0,0,,613,68,0.0,640,,634,0,0,84,0,590,624,0.0,0.0,0.0,0.0,0.0,628,0,0
128,Mahmoud Dahoud,48,MID,Brighton,,5,13,2023-11-13T01:00:08.969962Z,0.5,0.67,0,,0,153,0.1,0.53,False,0,2.7,126.4,0.03,68,s,0.0,0.15,426,Dahoud,0,108,0,2,71,60,136,0.0,465,-1,143,1.09,16327,292,0,1.11,4.88,70.4,1,0.14,0.1,111,1,1.0,8179,404,0.12,Suspended until 09 Dec,0,5,,280,192,1.11,296,,228,0,-2,138,1,323,97,22.0,1.6,0.0,21.7,0.22,268,1,0
129,Lewis Dunk,50,DEF,Brighton,25.0,11,20,2023-11-10T02:00:09.890568Z,1.0,2.60,0,1.0,1,86,3.8,1.01,False,0,4.0,60.5,0.14,165,d,0.2,0.23,91,Dunk,0,12,0,0,55,477,90,25.0,29521,0,6,1.52,356871,170,0,1.0,16.71,253.4,3,1.59,0.2,18,0,0.4,291373,990,0.09,Muscle injury - 25% chance of playing,1,20,,92,19,1.82,273,,88,0,0,37,0,265,203,129.0,1.8,0.0,44.3,0.0,44,0,0
130,Julio Enciso,51,MID,Brighton,0.0,1,8,2023-08-23T21:00:05.704925Z,0.0,0.78,0,,0,303,0.5,0.58,False,0,1.6,25.0,0.26,30,i,0.0,1.03,233,Enciso,0,144,0,4,162,18,34,0.0,689,0,135,2.67,380690,166,0,1.32,2.02,39.0,1,0.20,0.0,150,0,0.0,46445,68,0.77,Knee injury - Unknown return date,0,1,,258,103,1.32,64,,330,0,-4,73,0,706,314,30.0,4.0,0.0,9.4,0.0,329,2,0
131,Pervis Estupiñán,50,DEF,Brighton,25.0,6,25,2023-11-10T02:00:09.926001Z,0.0,2.37,0,,1,233,18.6,1.47,False,0,5.0,177.9,0.16,112,d,0.0,0.43,15,Estupiñan,0,45,1,0,10,2133,10,25.0,52860,0,10,1.94,5118291,191,0,1.09,10.66,162.8,2,0.90,0.0,14,0,0.1,1855776,495,0.27,Muscle injury - 25% chance of playing,5,10,,107,23,1.82,49,,83,0,0,5,0,697,55,110.0,4.2,0.0,45.0,0.0,131,3,1
132,Evan Ferguson,61,FWD,Brighton,100.0,7,41,2023-11-13T01:00:09.032281Z,3.0,3.40,-1,,5,18,8.6,0.51,False,0,6.7,59.9,0.45,137,d,2.2,0.53,43,Ferguson,0,11,0,-1,31,9733,15,75.0,58399,0,15,1.66,884561,62,0,1.09,10.64,198.2,0,2.89,0.5,15,1,3.5,1071458,577,0.08,Back injury - 75% chance of playing,5,13,,37,20,2.03,88,,76,1,1,9,0,100,205,218.0,3.7,0.0,47.6,0.16,100,0,1
133,Billy Gilmour,49,MID,Brighton,,7,30,,1.5,1.52,0,,0,99,0.4,1.18,False,0,6.1,192.0,0.05,139,a,1.5,0.22,245,Gilmour,0,89,0,1,38,540,76,,1215,3,126,1.63,51410,260,0,1.03,11.15,101.6,2,0.34,0.3,75,2,2.0,77285,614,0.17,,4,12,3.0,238,165,1.76,170,,145,0,-1,79,0,216,49,37.0,2.7,0.0,33.0,0.29,224,3,1
134,Pascal Groß,63,MID,Brighton,100.0,10,41,2023-09-22T14:00:07.601244Z,3.2,2.82,0,4.0,2,45,1.6,1.47,False,0,6.5,346.4,0.14,178,a,3.2,0.29,139,Gross,0,24,0,2,10,2131,30,100.0,3602,3,50,1.47,412987,53,0,1.01,14.46,230.4,1,1.35,0.5,20,1,3.7,171023,888,0.15,,8,13,1.0,81,31,1.32,56,2.0,28,0,-2,41,0,86,14,135.0,4.1,0.0,71.1,0.1,66,1,0
135,João Pedro Junqueira de Jesus,53,FWD,Brighton,,4,29,,1.2,4.43,0,,2,29,8.4,1.50,False,0,5.5,179.3,0.46,95,a,1.2,0.69,44,João Pedro,0,17,0,2,3,9441,27,,24370,1,16,1.49,2296222,146,0,0.62,9.58,149.2,1,2.93,0.2,14,1,1.7,803481,578,0.23,,3,12,,42,39,1.87,200,1.0,60,0,-2,10,0,239,54,200.0,2.4,0.0,52.9,0.16,147,1,0
136,Michał Karbownik,40,DEF,Brighton,0.0,0,0,2023-08-09T08:35:32.699094Z,0.0,0.00,0,,0,159,0.0,0.00,False,0,0.0,0.0,0.0,0,u,0.0,0.0,639,Karbownik,0,193,0,0,191,0,190,0.0,11,0,183,0.0,2225,669,0,0.0,0.00,0.0,0,0.00,0.0,193,0,0.0,0,0,0.0,Permanent transfer to Hertha BSC,0,0,,484,197,0.0,534,,529,0,0,219,0,459,507,0.0,0.0,0.0,0.0,0.0,522,0,0
137,Kacper Kozłowski,45,MID,Brighton,0.0,0,0,2023-07-20T08:40:22.941077Z,0.0,0.00,0,,0,242,0.0,0.00,False,0,0.0,0.0,0.0,0,u,0.0,0.0,734,Kozłowski,0,264,0,0,265,0,271,0.0,0,0,260,0.0,125,430,0,0.0,0.00,0.0,0,0.00,0.0,268,0,0.0,0,0,0.0,Joined vitesse on a season long loan,0,0,,640,249,0.0,664,,660,0,0,313,0,618,650,0.0,0.0,0.0,0.0,0.0,654,0,0
138,Adam Lallana,49,MID,Brighton,100.0,4,8,2023-09-29T14:00:08.638239Z,0.8,0.36,0,,0,136,0.0,0.36,False,0,1.6,95.3,0.0,28,a,0.8,0.13,517,Lallana,0,162,0,1,95,114,171,100.0,75,1,149,1.45,6660,217,0,1.39,4.18,24.4,1,0.00,0.2,134,1,1.3,3065,259,0.13,,0,3,,291,137,1.04,359,,295,0,-1,180,0,285,136,20.0,1.1,0.0,14.0,0.35,366,0,0
139,Tariq Lamptey,40,DEF,Brighton,0.0,1,8,2023-11-08T17:00:08.856481Z,0.0,0.10,0,,0,149,6.6,0.08,False,0,2.0,25.6,0.01,45,d,0.0,0.06,63,Lamptey,0,121,0,0,105,412,76,50.0,18427,0,128,1.29,716484,652,0,0.66,1.97,43.4,2,0.02,0.0,129,0,0.0,670584,137,0.05,Muscle injury - 50% chance of playing,0,5,,365,183,3.28,234,,354,0,0,21,0,446,307,7.0,2.0,0.0,7.6,0.0,318,2,0
140,Solly March,62,MID,Brighton,0.0,7,39,2023-10-21T17:30:07.514105Z,0.2,3.07,0,2.0,3,185,2.8,0.97,False,0,6.3,126.5,0.34,134,i,0.0,0.5,109,March,0,38,0,3,70,46,7,0.0,11810,0,47,1.7,1182970,57,0,1.14,10.50,197.4,1,2.10,0.0,52,2,0.0,1021072,555,0.16,Knee injury - Unknown return date,6,11,2.0,77,35,1.78,12,,81,0,-3,30,0,380,96,139.0,5.6,0.0,46.4,0.32,101,1,1
141,Tom McGill,39,GKP,Brighton,,0,0,,0.0,0.00,0,,0,36,0.3,0.00,False,0,0.0,0.0,0.0,0,a,0.0,0.0,275,McGill,0,38,0,1,21,414,38,,287,0,14,0.0,13195,728,0,0.0,0.00,0.0,0,0.00,0.0,38,0,0.5,15966,0,0.0,,0,0,,425,80,0.0,478,,473,0,-1,36,0,397,450,0.0,0.0,0.0,0.0,0.0,467,0,0
142,James Milner,48,MID,Brighton,25.0,5,9,2023-11-10T02:00:09.976619Z,0.8,0.43,0,,0,133,0.1,0.43,False,0,1.9,58.9,0.0,56,d,0.2,0.11,375,Milner,0,135,0,2,121,10,154,25.0,374,0,204,1.42,20020,273,0,1.29,5.54,45.8,2,0.00,0.2,144,1,0.3,6613,350,0.11,Muscle injury - 25% chance of playing,0,7,,405,175,1.8,331,,323,0,-2,118,0,282,208,2.0,1.3,0.0,10.7,0.26,310,0,0
143,Kaoru Mitoma,66,MID,Brighton,100.0,10,53,2023-11-16T15:00:09.180639Z,2.8,5.24,-1,,3,57,37.1,2.46,False,0,8.0,255.0,0.26,173,d,2.1,0.49,8,Mitoma,0,21,0,-1,22,23738,26,75.0,111225,1,6,1.51,2680410,44,0,0.92,16.40,239.2,3,2.78,0.4,11,0,3.3,2646967,980,0.23,Knock - 75% chance of playing,7,20,,11,27,1.84,45,,15,1,1,4,0,111,28,373.0,4.4,0.0,86.9,0.0,58,4,2
144,Jakub Moder,44,MID,Brighton,25.0,0,0,2023-10-20T15:30:08.340971Z,0.0,0.00,0,,0,203,0.1,0.00,False,0,0.0,0.0,0.0,0,a,0.0,0.0,465,Moder,0,228,0,1,229,126,237,100.0,116,0,223,0.0,8416,531,0,0.0,0.00,0.0,0,0.00,0.0,233,0,0.1,5606,0,0.0,,0,0,,574,294,0.0,610,,604,0,-1,153,0,554,588,0.0,0.0,0.0,0.0,0.0,597,0,0
146,Jeremy Sarmiento Morante,45,MID,Brighton,0.0,0,0,2023-07-26T11:28:45.117167Z,0.0,0.00,0,,0,228,0.0,0.00,False,0,0.0,0.0,0.0,0,u,0.0,0.0,677,Sarmiento,0,252,0,0,253,0,260,0.0,4,0,248,0.0,1504,408,0,0.0,0.00,0.0,0,0.00,0.0,256,0,0.0,0,0,0.0,Joined West Bromwich Albion on a season-long loan,0,0,,623,234,0.0,649,,643,0,0,276,0,599,633,0.0,0.0,0.0,0.0,0.0,637,0,0
147,Kjell Scherpen,40,GKP,Brighton,0.0,0,0,2023-07-06T16:30:02.985300Z,0.0,0.00,0,,0,60,0.0,0.00,False,0,0.0,0.0,0.0,0,u,0.0,0.0,739,Scherpen,0,61,0,0,45,0,61,0.0,0,0,38,0.0,32,656,0,0.0,0.00,0.0,0,0.00,0.0,61,0,0.0,0,0,0.0,Joined Sturm Graz on a season-long loan,0,0,,475,53,0.0,525,,521,0,0,85,0,450,499,0.0,0.0,0.0,0.0,0.0,514,0,0
148,Jason Steele,43,GKP,Brighton,,7,15,,1.8,0.00,0,,0,17,2.5,0.00,False,21,3.5,0.1,0.0,124,a,1.8,0.0,117,Steele,0,19,0,2,6,1691,22,,2626,2,55,1.26,391232,566,0,1.0,8.83,188.6,0,0.00,0.4,19,0,2.3,102665,630,0.0,,0,13,,525,28,1.86,224,,257,0,-2,16,0,172,428,0.0,2.1,3.0,18.9,0.0,110,0,0
149,Deniz Undav,55,FWD,Brighton,0.0,0,0,2023-08-04T09:40:56.708875Z,0.0,0.00,0,,0,89,0.0,0.00,False,0,0.0,0.0,0.0,0,u,0.0,0.0,635,Undav,0,90,0,0,90,0,90,0.0,4,0,90,0.0,4393,110,0,0.0,0.00,0.0,0,0.00,0.0,90,0,0.0,0,0,0.0,Season long loan to Stuttgart,0,0,,731,33,0.0,731,,732,0,0,87,0,721,732,0.0,0.0,0.0,0.0,0.0,732,0,0
150,Jan Paul van Hecke,40,DEF,Brighton,,5,12,,1.5,0.18,0,,0,62,1.8,0.06,False,0,3.0,9.6,0.02,86,a,1.5,0.03,133,Van Hecke,0,46,0,0,132,3986,92,,1994,2,83,1.14,152759,681,0,0.94,6.06,162.2,1,0.12,0.4,83,0,2.0,193746,478,0.01,,1,5,,272,204,0.94,279,,252,0,0,54,0,204,368,24.0,1.7,0.0,19.6,0.0,132,0,0
151,Joël Veltman,44,DEF,Brighton,,6,16,,1.2,0.33,0,,0,72,1.0,0.25,False,0,3.6,47.9,0.01,118,a,1.2,0.04,180,Veltman,0,63,0,1,68,1446,108,,1946,1,69,1.59,96330,486,0,0.79,12.10,139.2,1,0.08,0.3,67,0,1.7,83895,685,0.03,,0,15,,239,95,1.97,324,,223,0,-1,71,0,226,235,36.0,1.3,0.0,22.4,0.0,162,1,0
152,Bart Verbruggen,44,GKP,Brighton,,5,12,,1.2,0.00,0,,0,21,0.4,0.00,False,13,2.7,0.0,0.0,79,a,1.2,0.0,260,Verbruggen,0,20,0,1,70,395,19,,809,0,65,1.84,34211,553,0,1.0,9.20,121.2,0,0.00,0.3,20,0,1.7,23172,450,0.0,,2,8,,586,27,1.6,193,,311,0,-1,33,0,230,600,0.0,2.4,2.6,12.2,0.0,186,0,0
153,Adam Webster,43,DEF,Brighton,100.0,6,5,2023-08-11T13:30:06.362659Z,0.5,0.42,0,,0,97,0.2,0.10,False,0,1.2,26.6,0.05,89,a,0.5,0.07,301,Webster,0,85,1,2,101,348,144,100.0,415,0,94,1.73,25527,575,0,1.0,10.37,108.6,1,0.32,0.1,96,0,1.0,15725,540,0.02,,0,13,,293,135,2.17,445,,281,0,-2,117,0,300,303,19.0,0.8,0.0,15.5,0.0,209,0,0
154,Danny Welbeck,57,FWD,Brighton,0.0,7,15,2023-10-21T17:30:07.549301Z,0.2,1.44,0,,1,52,0.7,0.37,False,0,2.6,71.6,0.24,44,i,0.0,0.32,206,Welbeck,0,34,0,3,21,55,36,0.0,1846,0,36,1.44,247877,82,0,1.55,6.50,61.0,1,1.07,0.0,33,2,0.0,71824,407,0.08,Muscle injury - Unknown return date,1,7,,135,26,1.55,263,3.0,226,0,-3,33,0,378,172,86.0,1.9,0.0,21.9,0.44,283,0,0
155,Andi Zeqiri,44,FWD,Brighton,0.0,0,0,2023-09-06T09:25:40.755182Z,0.0,0.00,0,,0,56,0.6,0.00,False,0,0.0,0.0,0.0,0,u,0.0,0.0,222,Zeqiri,0,56,0,1,59,0,62,0.0,845,0,58,0.0,93369,510,0,0.0,0.00,0.0,0,0.00,0.0,58,0,0.0,25876,0,0.0,Permanent transfer to Genk,0,0,,563,91,0.0,600,,594,0,-1,38,0,542,577,0.0,0.0,0.0,0.0,0.0,587,0,0
606,Igor Julio dos Santos de Paulo,43,DEF,Brighton,100.0,4,7,2023-10-09T08:30:09.354344Z,1.5,0.07,0,,0,65,0.1,0.03,False,0,1.6,28.1,0.01,55,a,1.5,0.02,357,Igor,0,117,0,2,96,563,103,100.0,268,3,135,1.35,12467,590,0,1.08,4.99,49.8,1,0.04,0.3,124,0,2.0,11309,333,0.01,,1,6,,379,148,1.62,314,,346,0,-2,135,0,207,293,5.0,1.4,0.0,8.3,0.0,303,0,0
621,Jack Hinshelwood,45,MID,Brighton,,1,2,,0.0,0.02,0,,0,254,0.0,0.02,False,0,0.4,22.8,0.0,12,a,0.0,0.02,602,Hinshelwood,0,192,0,0,164,40,103,,41,0,200,1.36,1810,453,0,1.06,1.28,6.2,0,0.00,0.0,187,0,0.5,1890,85,0.02,,0,5,,399,263,5.29,240,,404,0,0,230,0,639,317,2.0,2.0,0.0,3.1,0.0,421,0,0
690,Carlos Baleba,45,MID,Brighton,,3,7,,1.0,0.29,0,,0,120,0.1,0.02,False,0,1.6,16.2,0.09,25,a,1.0,0.1,415,Baleba,0,145,0,0,175,400,163,,537,0,165,1.63,5540,456,0,1.02,4.78,38.6,2,0.27,0.2,166,0,1.5,13550,264,0.01,,0,7,,328,265,2.39,347,,362,0,0,133,0,255,338,14.0,1.2,0.0,6.9,0.0,330,0,0
700,Anssumane Fati Vieira,65,MID,Brighton,,1,20,,3.0,2.97,0,,2,53,1.0,0.28,False,0,3.1,43.6,0.91,51,a,3.0,1.0,183,Ansu Fati,0,94,0,0,136,6828,84,,3959,3,36,1.27,73582,48,0,0.34,3.75,95.0,1,2.69,0.5,80,1,3.5,150604,266,0.09,,1,5,,57,30,1.69,191,,161,0,0,60,0,101,246,172.0,2.5,0.0,31.0,0.34,237,0,0
741,Mark O’Mahony,45,FWD,Brighton,,0,0,,0.0,0.00,0,,0,79,0.0,0.00,False,0,0.0,0.0,0.0,0,a,1.2,0.0,721,O’Mahony,0,78,0,0,81,241,82,,27,0,81,0.0,27,462,0,0.0,0.00,0.0,0,0.00,0.0,80,0,1.7,241,0,0.0,,0,0,,666,87,0.0,685,,683,0,0,96,0,645,674,0.0,0.0,0.0,0.0,0.0,677,0,0
742,Benicio Baker-Boaitey,45,MID,Brighton,,0,0,,0.0,0.00,0,,0,238,0.0,0.00,False,0,0.0,0.0,0.0,0,a,1.2,0.0,740,Baker-Boaitey,0,261,0,0,262,35,268,,4,0,257,0.0,4,426,0,0.0,0.00,0.0,0,0.00,0.0,265,0,1.7,35,0,0.0,,0,0,,637,245,0.0,661,,657,0,0,318,0,614,647,0.0,0.0,0.0,0.0,0.0,651,0,0
156,Enock Agyei,43,MID,Burnley,,0,0,,0.0,0.00,0,,0,188,0.3,0.00,False,0,0.0,0.0,0.0,0,a,-0.5,0.0,287,Agyei,0,214,0,2,215,3111,223,,1206,0,209,0.0,19304,605,0,0.0,0.00,0.0,0,0.00,0.0,219,0,-1.0,25717,0,0.0,,0,0,,542,321,0.0,581,,575,0,-2,91,0,520,558,0.0,0.0,0.0,0.0,0.0,569,0,0
157,Ameen Al-Dakhil,40,DEF,Burnley,100.0,10,9,2023-10-18T22:00:08.810786Z,0.2,0.67,0,,0,113,0.7,0.48,False,0,2.2,29.6,0.02,96,a,-0.3,0.07,199,Al-Dakhil,0,77,1,0,94,331,139,100.0,1377,0,71,1.87,69223,693,0,1.05,17.76,119.0,1,0.19,0.0,89,0,-0.8,84929,855,0.05,,0,22,,244,211,2.32,437,,262,0,0,77,0,344,288,34.0,0.9,0.0,18.2,0.0,191,0,0
158,Samuel Bastien,49,MID,Burnley,0.0,0,0,2023-09-18T10:36:05.969054Z,0.0,0.00,0,,0,280,0.0,0.00,False,0,0.0,0.0,0.0,0,u,0.0,0.0,634,Bastien,0,295,0,1,294,0,296,0.0,17,0,292,0.0,2549,239,0,0.0,0.00,0.0,0,0.00,0.0,296,0,0.0,326,0,0.0,Has joined Kasimpasa S.K. on loan,0,0,,694,153,0.0,702,,701,0,-1,253,0,676,697,0.0,0.0,0.0,0.0,0.0,699,0,0
159,Manuel Benson Hedilazio,52,MID,Burnley,25.0,1,3,2023-09-27T09:00:08.265496Z,0.0,0.04,0,,0,305,0.1,0.01,False,0,0.6,4.3,0.04,8,d,-0.2,0.05,468,Benson,0,193,0,3,192,12,212,50.0,106,0,145,4.28,14876,156,0,1.38,3.09,6.0,0,0.03,0.0,184,0,-0.2,1587,65,0.01,Lack of match fitness - 50% chance of playing,0,3,,282,98,4.15,429,,398,0,-3,154,0,709,384,22.0,1.0,0.0,3.3,0.0,422,0,0
160,Jordan Beyer,40,DEF,Burnley,100.0,8,9,2023-10-07T21:00:07.723066Z,0.8,0.11,0,,0,88,1.5,0.05,False,0,2.2,27.2,0.01,116,a,0.3,0.02,143,Beyer,0,41,0,0,99,394,119,100.0,1336,1,137,1.62,330103,657,0,1.06,12.20,175.8,3,0.06,0.2,74,0,-0.2,61478,678,0.01,,1,16,,383,187,2.12,354,,237,0,0,59,0,273,300,4.0,1.1,0.0,20.8,0.0,122,0,0
161,Josh Brownhill,47,MID,Burnley,,8,28,,3.0,1.60,0,3.0,2,48,0.2,1.02,False,0,6.0,188.3,0.07,144,a,2.5,0.19,346,Brownhill,0,53,0,3,42,1545,82,,321,7,82,1.59,30267,320,0,0.92,13.76,162.0,1,0.58,0.6,56,0,2.0,17189,779,0.12,,0,20,1.0,133,209,2.31,186,,90,0,-3,106,0,93,53,86.0,2.5,0.0,43.8,0.0,133,0,0
162,Darko Churlinov,44,MID,Burnley,100.0,0,0,2023-08-31T18:00:07.313510Z,0.0,0.00,0,,0,206,0.0,0.00,False,0,0.0,0.0,0.0,0,a,-0.5,0.0,603,Churlinov,0,231,0,1,232,46,240,100.0,31,0,226,0.0,3130,537,0,0.0,0.00,0.0,0,0.00,0.0,236,0,-1.0,1002,0,0.0,,0,0,,577,297,0.0,613,,607,0,-1,231,0,557,591,0.0,0.0,0.0,0.0,0.0,600,0,0
163,Jack Cork,48,MID,Burnley,,0,1,,0.0,0.01,0,,0,268,0.0,0.01,False,0,0.2,0.9,0.0,2,a,-0.5,0.06,593,Cork,0,207,0,2,204,24,192,,23,0,205,0.73,2156,275,0,0.0,0.13,1.8,0,0.00,0.0,206,0,-1.0,542,16,0.06,,0,0,,406,176,0.0,406,,442,0,-2,225,0,661,409,2.0,1.0,0.0,0.5,0.0,442,0,0
164,Dara Costelloe,45,MID,Burnley,0.0,0,0,2023-08-17T06:12:47.501520Z,0.0,0.00,0,,0,253,0.0,0.00,False,0,0.0,0.0,0.0,0,u,0.0,0.0,667,Costelloe,0,274,0,0,275,0,280,0.0,13,0,270,0.0,2754,448,0,0.0,0.00,0.0,0,0.00,0.0,278,0,0.0,101,0,0.0,Season long loan to St Johnstone,0,0,,656,261,0.0,678,,676,0,0,271,0,635,665,0.0,0.0,0.0,0.0,0.0,670,0,0
165,Josh Cullen,50,MID,Burnley,100.0,10,17,2023-10-28T19:30:08.472702Z,0.2,0.95,0,,0,178,0.1,0.87,False,0,3.4,109.9,0.01,115,a,-0.3,0.1,469,Cullen,0,70,0,0,84,40,130,100.0,107,0,155,1.98,8785,185,0,1.07,18.49,126.6,5,0.08,0.0,101,0,-0.8,6888,839,0.09,,0,22,,302,114,2.36,285,,206,0,0,155,0,370,118,18.0,1.7,0.0,25.4,0.0,177,1,0
166,CJ Egan-Riley,39,DEF,Burnley,,0,0,,0.0,0.00,0,,0,125,0.2,0.00,False,0,0.0,0.0,0.0,0,a,-0.5,0.0,304,Egan-Riley,0,165,0,1,162,379,161,,294,0,153,0.0,14763,735,0,0.0,0.00,0.0,0,0.00,0.0,164,0,-1.0,18145,0,0.0,,0,0,,431,235,0.0,483,,478,0,-1,119,0,402,455,0.0,0.0,0.0,0.0,0.0,472,0,0
167,Hjalmar Ekdal,39,DEF,Burnley,50.0,0,0,2023-08-31T02:00:07.493185Z,0.0,0.00,0,,0,129,0.1,0.00,False,0,0.0,0.0,0.0,0,d,-0.2,0.0,397,Ekdal,0,168,0,1,165,82,164,50.0,122,0,156,0.0,15763,739,0,0.0,0.00,0.0,0,0.00,0.0,167,0,-0.5,2892,0,0.0,Lack of match fitness - 50% chance of playing,0,0,,434,239,0.0,486,,481,0,-1,153,0,406,458,0.0,0.0,0.0,0.0,0.0,475,0,0
168,Lyle Foster,50,FWD,Burnley,25.0,7,33,2023-10-28T20:00:07.456915Z,0.5,2.04,0,,3,41,1.1,0.48,False,0,6.6,79.5,0.23,105,d,0.0,0.3,170,Foster,0,15,0,0,19,512,6,25.0,6964,0,30,2.0,192381,203,0,1.03,13.54,168.2,0,1.56,0.1,19,1,-0.1,255238,609,0.07,Illness - 25% chance of playing,4,19,,89,45,2.81,32,,110,0,0,26,1,333,162,130.0,4.7,0.0,37.7,0.15,127,2,0
169,Denis Franchi,39,GKP,Burnley,,0,0,,0.0,0.00,0,,0,40,0.2,0.00,False,0,0.0,0.0,0.0,0,a,-0.5,0.0,343,Franchi,0,42,0,1,25,260,42,,93,0,18,0.0,8738,740,0,0.0,0.00,0.0,0,0.00,0.0,42,0,-1.0,8181,0,0.0,,0,0,,435,84,0.0,487,,482,0,-1,53,0,407,459,0.0,0.0,0.0,0.0,0.0,476,0,0
170,Jóhann Berg Gudmundsson,48,MID,Burnley,100.0,6,12,2023-09-25T13:00:08.033849Z,1.2,1.49,0,2.0,0,110,0.0,1.21,False,0,2.5,189.1,0.06,65,a,0.7,0.31,584,Gudmundsson,0,109,0,2,41,55,127,100.0,31,1,115,1.38,4258,279,0,1.25,6.59,69.6,2,0.28,0.3,84,0,0.2,1562,431,0.25,,0,10,2.0,221,179,2.09,282,,169,0,-2,220,0,234,52,42.0,1.7,0.0,30.1,0.0,269,1,0
171,Luke McNally,40,DEF,Burnley,0.0,0,0,2023-08-04T09:35:51.951556Z,0.0,0.00,0,,0,168,0.0,0.00,False,0,0.0,0.0,0.0,0,u,0.0,0.0,657,McNally,0,202,0,0,199,0,198,0.0,9,0,192,0.0,1605,690,0,0.0,0.00,0.0,0,0.00,0.0,201,0,0.0,0,0,0.0,Season long loan to Stoke City,0,0,,502,209,0.0,551,,546,0,0,226,0,477,524,0.0,0.0,0.0,0.0,0.0,540,0,0
172,Arijanet Muric,43,GKP,Burnley,,0,0,,0.0,0.00,0,,0,78,0.2,0.00,False,0,0.0,0.0,0.0,0,a,-0.5,0.0,352,Muric,0,79,0,2,65,38,79,,118,0,59,0.0,14731,593,0,0.0,0.00,0.0,0,0.00,0.0,79,0,-1.0,1389,0,0.0,,0,0,,538,32,0.0,579,,573,0,-2,54,0,514,555,0.0,0.0,0.0,0.0,0.0,567,0,0
